,type,leaf,stem,root,seed
sSUCROSE_b,,0.0,0.0,0.0,0.05927437193334587
GLC_c,,0.02407193144241361,0.0035305090321695945,0.02715949112000632,0.0
FRU_c,,0.04151419375094672,0.01452716541492162,0.03668049046448853,0.0
Starch_b,,0.1668216440640929,0.06840456905445502,0.07856489121170145,0.3462448673919929
Cellulose_b,,0.04265927817621051,0.12741311942661077,0.032648689995147966,0.0
Xylan_b,,0.22007422610643818,0.7830595917975792,0.4439907747704811,0.0
L_PHOSPHATIDATE_p,,0.0013008020731031399,0.0018968172951671735,0.0007457570332604895,0.0
PHOSPHATIDYL_CHOLINE_r,,0.0,0.0,0.0,0.0
L_1_PHOSPHATIDYL_ETHANOLAMINE_r,,0.0,0.0,0.0,0.0
DIACYLGLYCEROL_p,,0.0,0.0,0.0,0.0
Galactosyl_galactosyl_diacyl_glycerols_p,,0.0,0.0,0.0,0.0
D_Galactosyl_12_diacyl_glycerols_p,,0.0,0.0,0.0,0.0
2_Lysophosphatidylcholines_r,,0.0,0.0,0.0,0.0
Lysophosphatidylglycerols_r,,0.0,0.0,0.0,0.0
Triacylglycerols_p,,0.0,0.0,0.0,0.0
L_1_PHOSPHATIDYL_GLYCEROL_p,,0.0,0.0,0.0,0.0
L_1_phosphatidyl_inositols_r,,0.0,0.0,0.0,0.0
SULFOQUINOVOSYLDIACYLGLYCEROL_p,,0.0,0.0,0.0,0.0
Protein_b,,0.0,0.0,0.0,0.0
sMAL_b,,0.0,0.0,0.0,0.0
sCIT_b,,0.0,0.0,0.0,0.0
sFUM_b,,0.0,0.0,0.0,0.0
ARG_c,,0.0,0.0,0.0,0.0034969536934542065
HIS_c,,0.0,0.0,0.0,0.0022657902819705807
LYS_c,,0.0,0.0,0.0,0.002797728281543598
sASP_b,,0.0,0.0,0.0,0.004106051998215557
sGLU_b,,0.0,0.0,0.0,0.0
sSER_b,,0.0009756862573815953,0.0007074280270653427,0.0006593879168165082,0.005925647936484229
THR_c,,0.0,0.0,0.0,0.0035414725313854273
ASN_c,,0.0,0.0,0.0,0.0
sGLN_b,,0.0,0.0,0.0,0.0
CYS_c,,0.0,0.0,0.0,0.0018238375352502634
GLY_c,,0.0,0.0,0.0,0.005485968636729927
PRO_c,,0.0,0.0,0.0,0.017797382608338387
sALA_b,,0.00198931811529319,0.0003996552995241783,0.0008688547290514354,0.005524180099441843
VAL_c,,0.0004886284178338886,0.00023156257115935244,0.00019305045165008016,0.006516300103933013
ILE_c,,0.0,0.0,0.0,0.004747486217557739
LEU_c,,0.00011495495353062909,6.941958165427158e-05,8.308627444421632e-05,0.01026069601859253
MET_c,,0.0,0.0,0.0,0.0016155694068434579
PHE_c,,0.0,0.0,0.0,0.006992501329759411
TYR_c,,0.0,0.0,0.0,0.002106536946313967
TRP_c,,0.0,0.0,0.0,0.0
sGABA_b,,0.0,0.0,0.0,0.0
PALMITATE_p,fattyacid,0.035606935636637776,0.04994040969346369,0.04703257181127117,0.0
CPD_9245_p,fattyacid,0.007240792358424453,0.0004202926948608742,0.0020330291732018084,0.0
CPD_17412_p,fattyacid,0.0,0.0,0.0,0.0
CPD_17291_p,fattyacid,0.0,0.0,0.0,0.0
STEARIC_ACID_p,fattyacid,0.008976806317569213,0.01856870396737305,0.01767443125994189,0.0
OLEATE_CPD_p,fattyacid,0.0018277263373155618,0.004394446859229714,0.0016563336180513936,0.0
Octadecadienoate_p,fattyacid,0.011143781023617877,0.004740664196646318,0.0022189901253892976,0.0
LINOLENIC_ACID_p,fattyacid,0.0,0.0,0.0,0.0
ARACHIDIC_ACID_p,fattyacid,0.0005199821542438829,0.00042059753029586466,0.00033705568254890954,0.0
CPD_16709_p,fattyacid,4.37423129818684e-05,0.00013598128026874257,0.00016494406503906467,0.0
DOCOSANOATE_p,fattyacid,0.0010670824574418006,0.00037398827281942266,0.000507813899732124,0.0
SUC_c,,0.0,0.0,0.0,0.0
FUM_c,,0.0,0.0,0.0,0.0
MAL_c,,0.0,0.0,0.0,0.0
