Sample,"l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester (ng/mgDW)","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester (ng/mgDW)","L-Leucine, N-(trimethylsilyl)-, trimethylsilyl ester (ng/mgDW)","L-Isoleucine, N-(trimethylsilyl)-, trimethylsilyl ester (ng/mgDW)","Glycine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester (ng/mgDW)","Butanedioic acid, bis(trimethylsilyl) ester-succinate (ng/mgDW)","2-Butenedioic acid (E)-, bis(trimethylsilyl) ester-fumarate (ng/mgDW)","Serine, bis(trimethylsilyl)- (ng/mgDW)","Serine, N,O-bis(trimethylsilyl)-, trimethylsilyl ester (ng/mgDW)","l-Threonine, O-(trimethylsilyl)-, trimethylsilyl ester (ng/mgDW)","N,O,O-Tris(trimethylsilyl)-L-threonine (ng/mgDW)","l-Aspartic acid, bis(trimethylsilyl) ester (ng/mgDW)","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester-malate (ng/mgDW)","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester-pyroglutamate (ng/mgDW)","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester (ng/mgDW)","L-Methionine, N-(trimethylsilyl)-, trimethylsilyl ester (ng/mgDW)","Butanoic acid, 4-[bis(trimethylsilyl)amino]-, trimethylsilyl ester-GABA (ng/mgDW)","Cytein, N,N-bis(trimethylsilyl)-, trimethylsilyl ester (ng/mgDW)","Alanine, phenyl-, trimethylsilyl ester, dl- (ng/mgDW)","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L- (ng/mgDW)","N,O-Bis(trimethylsilyl)-L-phenylalanine (ng/mgDW)","D-Ribose, 2,3,4,5-tetrakis-O-(trimethylsilyl)- (ng/mgDW)","D-(+)-Xylose, tetrakis(trimethylsilyl) ether, methyloxime (syn)-01 (ng/mgDW)","1,4-Butanediamine, N,N,N',N'-tetrakis(trimethylsilyl)-Putrescine (ng/mgDW)","D-(-)-Rhamnose, tetrakis(trimethylsilyl) ether, methyloxime (syn) (ng/mgDW)","D-(+)-Xylose, tetrakis(trimethylsilyl) ether, methyloxime (syn)-02 (ng/mgDW)","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester-Citric acid (ng/mgDW)","N-.alpha.-Acetyl-L-Lysine, N,N-trimethylsilyl-, trimethylsilyl ester (ng/mgDW)","L-Lysine, N2,N6,N6-tris(trimethylsilyl)-, trimethylsilyl ester (ng/mgDW)","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime (ng/mgDW)","Tyrosine, O-trimethylsilyl-, trimethylsilyl ester (ng/mgDW)","D-(-)-Fructose, pentakis(trimethylsilyl) ether, methyloxime (syn) (ng/mgDW)","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)- (ng/mgDW)","d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)- (ng/mgDW)","d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)- (ng/mgDW)","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)- (ng/mgDW)","D-(+)-Galactose, pentakis(trimethylsilyl) ether, trimethylsilyloxime (isomer 2) (ng/mgDW)","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)- (ng/mgDW)","D-(+)-Trehalose, octakis(trimethylsilyl) ether (ng/mgDW)"
R3,3.0292,43.1523,40.9854,26.2243,20.8935,75.2284,38.0157,199.5439,21.1711,141.1663,13.2892,70.8783,349.3575,37.7441,4.2284,27.394,111.0426,2.5716,25.2975,198.2732,184.3245,31.362,2.0927,8.2753,121.0813,498.7698,36.7905,195.9578,194.8093,1581.2265,207.8846,1575.2357,225.3139,622.4308,496.7171,239.2561,238.671,53.7289,1266.5782
R4,28.2083,37.952,36.6217,20.6008,17.0486,33.5996,21.4436,126.0114,20.5146,89.3587,12.1253,3.0132,209.4369,32.986,3.5788,28.1,110.4456,3.24,10.1927,122.5308,112.8057,14.6989,3.3101,3.727,74.6573,306.2332,47.7119,121.8405,120.6652,874.3401,128.2551,884.3494,225.4719,622.8696,490.4752,236.1758,234.8377,52.8602,780.135
R5,28.6955,23.0851,21.8858,11.2025,8.0117,39.3067,30.0358,65.0479,8.4896,43.5016,6.4152,22.9823,303.3854,15.7451,4.1387,24.5075,96.4244,2.7193,6.8278,127.8979,117.4762,14.0655,3.3291,3.8866,78.5896,321.1586,114.2972,127.6128,128.666,1697.7465,134.1678,1819.4059,378.4856,1045.5725,790.8371,380.8068,377.1561,40.0692,1607.4832
R8,7.8905,25.2282,27.2311,14.6379,10.5391,57.0782,44.8041,83.4134,14.8108,44.5246,8.471,84.0918,794.305,26.4577,7.2094,28.1671,110.2504,3.0683,8.7082,175.1883,158.6713,11.9131,3.0829,3.2103,105.7741,435.4838,412.75,174.4143,174.3538,1455.6796,182.7531,1537.4698,345.9753,955.7568,677.1504,325.4132,323.7392,42.4786,1448.5976
R9,16.9523,39.9398,41.2684,24.0569,8.8512,56.4941,72.1254,74.7568,19.2298,58.2307,13.9496,72.1953,1142.7723,39.6475,14.5544,33.8052,132.8235,4.0248,14.3424,137.7507,122.6164,9.7929,3.055,3.7889,82.5261,333.0897,444.004,135.0896,129.5217,1179.145,140.2257,1238.1628,287.8665,795.2752,560.1336,269.7181,268.3318,41.9597,1416.0309
R11,95.8635,23.8143,21.9309,12.2203,8.9569,49.9224,32.5882,60.9908,18.1892,32.8888,11.2094,82.9509,357.8664,34.715,10.6266,53.6466,209.6293,1.7888,8.99,128.899,114.289,12.0893,2.8835,2.5116,77.0972,312.2877,189.9126,125.9999,125.3312,1559.9804,131.251,1698.6855,402.991,1113.1867,796.6606,383.526,381.0354,41.1317,1343.9871
R12,29.9187,29.7612,33.1385,17.3408,7.8958,56.8105,46.0907,51.4098,11.4378,30.4475,8.7681,76.1172,663.9548,21.8628,9.0658,31.1827,124.1395,2.5155,9.9249,139.4982,126.4976,12.1183,3.8225,2.4625,84.9205,344.4821,350.7329,138.0183,136.7115,2257.7265,143.996,2576.7087,604.3004,1669.3141,1210.9556,583.1146,579.2229,47.6042,1199.9137
R16,25.7168,25.7573,29.0786,16.1695,6.2036,67.6611,51.1668,51.7153,16.682,29.3471,9.2415,50.3942,948.9696,27.7752,9.5668,16.6353,66.1027,2.017,11.4331,99.5693,87.5864,6.4152,3.3345,1.8431,58.2619,234.0258,529.7984,95.8245,93.0433,990.2951,98.9518,1049.2316,322.7317,891.4971,634.3726,305.4634,303.8211,35.6393,1166.0549
R19,27.0686,20.0929,21.5374,11.8772,6.914,52.2446,31.3441,49.6634,15.121,25.9276,7.833,33.8761,404.033,0,6.6216,18.922,74.9523,1.8682,9.0059,72.8076,66.1048,12.306,2.3489,1.9786,43.3722,174.5156,235.502,69.7951,68.2143,791.1614,72.7343,833.9965,255.9844,707.146,550.2423,264.8252,263.4633,35.6303,1376.828
R20,28.4097,24.6478,28.4605,13.2124,6.2224,65.2178,61.4706,62.2042,23.8592,26.3924,12.0717,40.6893,956.8157,58.0304,9.4259,24.8778,98.7555,36.7679,8.6843,94.2481,81.5271,11.0463,2.0518,3.157,54.0058,217.5297,700.4114,88.438,90.0472,831.1049,91.3889,874.6115,259.8063,717.6501,524.1105,252.1113,250.6906,37.6361,544.4551
