Sample,"Decanoic acid, methyl ester (C10:0)","Dodecanoic acid, methyl ester  (C12:0)","Tridecanoic acid, methyl ester  (C13:0)",Methyl myristoleate  (C14:1),Methyl tetradecanoate  (C14:0),"Pentadecanoic acid, methyl ester  (C15:0)","9-Hexadecenoic acid, methyl ester, (Z)- (C16:1)","Hexadecanoic acid, methyl ester (C16:0)","Heptadecanoic acid, methyl ester (C17:0)","9,12-Octadecadienoic acid (Z,Z)-, methyl ester (C18:2)","9-Octadecenoic acid, methyl ester, (E)-Elaidic acid (C18:1)","9-Octadecenoic acid (Z)-, methyl ester-Oleic acid (C18:1)",Methyl stearate (C18:0),"cis-13-Eicosenoic acid, methyl ester-(cis-11-Eicosenoate) (C20:1)","Eicosanoic acid, methyl ester (C20:0)","13-Docosenoic acid, methyl ester (C22:1)","Docosanoic acid, methyl ester (C22:0)"
L3,0.283036211,0.082762,0.001399662,0.007805054,0.105313399,0.005737455,0.389037266,9.227581397,0.046642835,0.964756659,0.026808698,0.201814429,2.386880818,0.002398856,0.075325292,0.002280587,0.115025333
L4,0.257482067,0.081366882,0.002764899,0.020698102,0.166032984,0.033935858,1.134528762,8.472354264,0.073910124,1.432149342,0.040438538,0.306357229,2.925987385,0.008618465,0.132104533,0.00525798,0.387400515
L5,0.088505392,0.125981126,0.003096168,0.017524597,0.191951193,0.026258938,1.722191175,5.572567973,0.056393455,1.317219219,0.052046926,0.391847882,1.24949795,0.013378125,0.13647358,0.003517826,0.357847456
L8,0.171492263,0.191431937,0.006757332,0.027352454,0.342052477,0.063938434,3.730499965,12.70415475,0.139848052,19.30041981,0.142163875,1.070315149,3.547981769,0.029465956,0.308196351,0.010713615,0.698084406
L9,0.159040199,0.112661665,0.003731678,0.028170775,0.203569756,0.028677331,1.735197223,8.200341722,0.071831197,1.496393445,0.053674307,0.404100011,2.699994823,0.008666118,0.144469894,0.0070301,0.294196607
L11,0.259615223,0.102032358,0.00414286,0.042881586,0.174237312,0.021986795,1.189041686,7.003642053,0.083210016,1.725952584,0.026756487,0.20144269,2.062002516,0.006559012,0.170452542,0.006942683,0.397495577
L12,0.133091841,0.150999786,0.00344916,0.011911688,0.197590735,0.021485427,1.474873807,4.934404052,0.052329274,1.198273998,0.017789164,0.133930025,0.26167252,0.020178274,0.057302052,0.00444816,0.080823764
L16,0.220495249,0.125303522,0.006753518,0.202543988,0.343582774,0.034597619,1.863314233,10.03493712,0.082307958,1.120993022,0.044826977,0.337490746,3.536432534,0.007211039,0.195654378,0.009875619,0.405876583
L19,0.131899305,0.188981337,0.006039801,0.022371859,0.258192366,0.033892666,2.523372562,8.467322265,0.086751148,2.290330021,0.036351777,0.273683153,1.606487782,0.030486359,0.14447828,0.007230757,0.406393141
L20,0.199032489,0.13540835,0.005170465,0.021880605,0.268112464,0.033182514,2.169770775,9.0855276,0.061561998,2.411094454,0.087506201,0.659356306,2.551690099,0.013832671,0.165558256,0.007872458,0.407157949
