Sample,pALA,pGLY,pVAL,pLEU,pILE,pPRO,pDGLT,pMET,pSER,pTHR,pPHE,pASP,pCYS,pGLT,pASN,pLYS,pTYR,pTRP
L3,410497.1906,198523.5144,351990.772,572193.2016,281709.113,221709.9106,713.932,17474.9987,97560.3011,325936.9446,46693.4118,156.9554,240.565,219.6475,116.0514,542.2812,149.3918,2388.2962
L4,513478.9124,355266.9314,351921.7867,670488.0248,298671.4289,145547.996,56572.0316,10593.5677,318970.8224,377294.5258,283119.2843,550502.6121,558.274,524010.4522,444.1014,522.0032,2308.7607,1696.6465
L5,238478.1231,228510.5192,211167.2452,313146.2126,187473.3228,246484.3303,34254.7908,31963.1363,192403.9445,438223.809,183192.6154,261536.4197,428.6929,232171.327,688.4256,732.1997,34191.0394,464.3586
L8,60300.5688,58872.9401,62085.9753,80721.1777,53042.4232,129687.9082,21140.4408,21682.4643,54959.2593,218984.1294,67593.2077,75943.4532,385.2305,65310.237,543.5005,166063.8179,42669.6251,171.8568
L9,578687.7966,562877.0904,527625.5316,762775.9246,466770.07,556879.082,114704.3048,75984.9615,493056.6862,1177618.902,511452.3724,685720.0611,1413.7595,604364.7487,4430.442,130431.1094,199369.652,4542.787
L11,720699.7609,583827.6643,528139.549,946961.4249,462323.6131,413652.8617,65212.5784,47466.1654,476206.7101,878616.9367,432181.154,709607.9146,867.6039,643358.3175,1283.4528,594.2457,2889.1243,680.8918
L12,302912.0998,243331.256,211195.8932,382495.8946,181064.4531,93452.5334,38217.3921,11517.0509,188825.866,283618.7519,172433.3513,312185.9155,189.4703,326856.8482,334.1129,567.7229,4941.3438,2425.0015
L16,448018.288,423809.0233,351982.9088,587760.0024,313495.792,385721.4546,68261.2516,35053.2288,360215.9447,717600.4947,325422.8083,536036.3371,740.2403,481044.4645,2502.5228,48889.0974,115330.3556,1914.5265
L20,125599.4619,122721.3726,105562.6861,165415.2237,93432.3356,151581.288,29233.1214,20036.4916,112553.4076,292123.5773,112377.7297,155332.4116,408.0122,136416.0722,972.3393,178198.2126,63057.1607,317.7952
L21,285419.0503,260678.8405,211148.4043,378660.7018,185880.1384,235068.7724,53217.3393,25983.8149,247790.9458,484690.1127,209170.655,356834.0365,575.239,326341.1632,1684.0281,162869.1969,110701.994,424.6741
R3,975113.7466,680215.8089,527611.3122,926621.6222,428129.7586,1569016.503,162245.5603,21423.9251,965530.4937,2122379.225,389887.0734,1432498.354,3301.4559,1253201.926,1720.7199,4468.8938,66114.5439,18712.9036
R4,2091718.078,1449422.482,1057401.88,1790415.477,849131.8394,2602802.024,518141.8008,97885.0527,1861775.919,1879868.322,734273.2786,2885712.121,3822.7765,2645736.695,3548.5817,14853.8527,167336.9389,88875.0458
